"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"4939","rire","lachen","verb","","Dans certaines situations, on peut rire.","Gefühle","",""
"5021","tout droit","geradeaus","adverb","","L'adverbe ""tout droit"" revient souvent dans ce type d'enonce.","Stadt","",""
"34017","le langage enfantin","Kindersprache","noun","m","Au quotidien, le langage enfantin compte beaucoup.","Familie & Freunde","",""
"34018","le parler bébé","Babysprache","noun","m","Au quotidien, le parler bébé compte beaucoup.","Familie & Freunde","",""
"34019","le mot d'enfant","Kinderwort","noun","m","Au quotidien, le mot d'enfant compte beaucoup.","Familie & Freunde","",""
"34020","le premier mot","erstes Wort","noun","m","Au quotidien, le premier mot compte beaucoup.","Familie & Freunde","",""
"34021","le petit mot gentil","liebes kleines Wort","noun","m","Au quotidien, le petit mot gentil compte beaucoup.","Familie & Freunde","",""
"34022","le mot magique","Zauberwort","noun","m","Au quotidien, le mot magique compte beaucoup.","Familie & Freunde","",""
"34023","le surnom affectueux","Kosename","noun","m","Au quotidien, le surnom affectueux compte beaucoup.","Familie & Freunde","",""
"34024","le doudou plat","Schmusetuch","noun","m","Au quotidien, le doudou plat compte beaucoup.","Familie & Freunde","",""
"34025","le doudou lapin","Hasen-Schmusetier","noun","m","Au quotidien, le doudou lapin compte beaucoup.","Familie & Freunde","",""
"34026","le doudou de nuit","Einschlaf-Kuscheltier","noun","m","Au quotidien, le doudou de nuit compte beaucoup.","Familie & Freunde","",""
"34027","le nounours de nuit","Nacht-Teddy","noun","m","Au quotidien, le nounours de nuit compte beaucoup.","Familie & Freunde","",""
"34028","la tétine de secours","Ersatzschnuller","noun","f","Au quotidien, la tétine de secours compte beaucoup.","Familie & Freunde","",""
"34029","l'attache-tétine","Schnullerband","noun","","Au quotidien, l'attache-tétine compte beaucoup.","Familie & Freunde","",""
"34030","la boîte à tétines","Schnullerbox","noun","f","Au quotidien, la boîte à tétines compte beaucoup.","Familie & Freunde","",""
"34031","le biberon du soir","Abendfläschchen","noun","m","Au quotidien, le biberon du soir compte beaucoup.","Familie & Freunde","",""
"34032","le biberon d'eau","Wasserfläschchen","noun","m","Au quotidien, le biberon d'eau compte beaucoup.","Familie & Freunde","",""
"34033","le goupillon à biberon","Flaschenbürste","noun","m","Au quotidien, le goupillon à biberon compte beaucoup.","Familie & Freunde","",""
"34034","la boîte doseuse","Portionierdose","noun","f","Au quotidien, la boîte doseuse compte beaucoup.","Familie & Freunde","",""
"34035","la dose de lait","Milchportion","noun","f","Au quotidien, la dose de lait compte beaucoup.","Familie & Freunde","",""
"34036","le lait infantile","Säuglingsmilch","noun","m","Au quotidien, le lait infantile compte beaucoup.","Familie & Freunde","",""
"34037","le petit pot bébé","Babygläschen","noun","m","Au quotidien, le petit pot bébé compte beaucoup.","Familie & Freunde","",""
"34038","l'assiette ventouse","Saugnapfteller","noun","","Au quotidien, l'assiette ventouse compte beaucoup.","Familie & Freunde","",""
"34039","le bol à oreilles","Kinderschale mit Griffen","noun","m","Au quotidien, le bol à oreilles compte beaucoup.","Familie & Freunde","",""
"34040","la cuillère souple","weicher Löffel","noun","f","Au quotidien, la cuillère souple compte beaucoup.","Familie & Freunde","",""
"34041","le gobelet anti-fuite","auslaufsicherer Becher","noun","m","Au quotidien, le gobelet anti-fuite compte beaucoup.","Familie & Freunde","",""
"34042","le gobelet à bec souple","Trinklernbecher","noun","m","Au quotidien, le gobelet à bec souple compte beaucoup.","Familie & Freunde","",""
"34043","le bavoir à manches","Ärmellätzchen","noun","m","Au quotidien, le bavoir à manches compte beaucoup.","Familie & Freunde","",""
"34044","le lange en coton","Baumwolltuch","noun","m","Au quotidien, le lange en coton compte beaucoup.","Familie & Freunde","",""
"34045","le carré de lange","Mulltuch","noun","m","Au quotidien, le carré de lange compte beaucoup.","Familie & Freunde","",""
"34046","la couche de nuit","Nachtwindel","noun","f","Au quotidien, la couche de nuit compte beaucoup.","Familie & Freunde","",""
"34047","la couche de jour","Tageswindel","noun","f","Au quotidien, la couche de jour compte beaucoup.","Familie & Freunde","",""
"34048","la couche-culotte","Höschenwindel","noun","f","Au quotidien, la couche-culotte compte beaucoup.","Familie & Freunde","",""
"34049","le sac à couches","Windeltasche","noun","m","Au quotidien, le sac à couches compte beaucoup.","Familie & Freunde","",""
"34050","le matelas à langer","Wickelauflage","noun","m","Au quotidien, le matelas à langer compte beaucoup.","Familie & Freunde","",""
"34051","la crème de change","Wundschutzcreme","noun","f","Au quotidien, la crème de change compte beaucoup.","Familie & Freunde","",""
"34052","le thermomètre de bain","Badethermometer","noun","m","Au quotidien, le thermomètre de bain compte beaucoup.","Familie & Freunde","",""
"34053","la baignoire bébé","Babybadewanne","noun","f","Au quotidien, la baignoire bébé compte beaucoup.","Familie & Freunde","",""
"34054","le transat de bain","Badeeinsatz","noun","m","Au quotidien, le transat de bain compte beaucoup.","Familie & Freunde","",""
"34055","la serviette à capuche","Kapuzenhandtuch","noun","f","Au quotidien, la serviette à capuche compte beaucoup.","Familie & Freunde","",""
"34056","la turbulette d'hiver","Winterschlafsack","noun","f","Au quotidien, la turbulette d'hiver compte beaucoup.","Familie & Freunde","",""
"34057","la gigoteuse légère","leichter Schlafsack","noun","f","Au quotidien, la gigoteuse légère compte beaucoup.","Familie & Freunde","",""
"34058","la veilleuse musicale","musikalisches Nachtlicht","noun","f","Au quotidien, la veilleuse musicale compte beaucoup.","Familie & Freunde","",""
"34059","le mobile de lit","Bettmobile","noun","m","Au quotidien, le mobile de lit compte beaucoup.","Familie & Freunde","",""
"34060","le lit à barreaux","Gitterbett","noun","m","Au quotidien, le lit à barreaux compte beaucoup.","Familie & Freunde","",""
"34061","le drap-housse bébé","Spannbettlaken fürs Baby","noun","m","Au quotidien, le drap-housse bébé compte beaucoup.","Familie & Freunde","",""
"34062","la chancelière de poussette","Fußsack für den Kinderwagen","noun","f","Au quotidien, la chancelière de poussette compte beaucoup.","Familie & Freunde","",""
"34063","la poussette canne","Buggy","noun","f","Au quotidien, la poussette canne compte beaucoup.","Familie & Freunde","",""
"34064","la nacelle souple","weiche Babywanne","noun","f","Au quotidien, la nacelle souple compte beaucoup.","Familie & Freunde","",""
"34065","le porte-bébé physiologique","ergonomische Babytrage","noun","m","Au quotidien, le porte-bébé physiologique compte beaucoup.","Familie & Freunde","",""
"34066","l'écharpe de portage","Tragetuch","noun","","Au quotidien, l'écharpe de portage compte beaucoup.","Familie & Freunde","",""
"34067","le siège-auto bébé","Babyschale im Auto","noun","m","Au quotidien, le siège-auto bébé compte beaucoup.","Familie & Freunde","",""
"34068","le miroir de voiture bébé","Baby-Rückspiegel fürs Auto","noun","m","Au quotidien, le miroir de voiture bébé compte beaucoup.","Familie & Freunde","",""
"34069","le cosy bébé","Babyschale","noun","m","Au quotidien, le cosy bébé compte beaucoup.","Familie & Freunde","",""
"34070","la chaise haute évolutive","mitwachsender Hochstuhl","noun","f","Au quotidien, la chaise haute évolutive compte beaucoup.","Familie & Freunde","",""
"34071","le rehausseur de table","Tischsitzerhöhung","noun","m","Au quotidien, le rehausseur de table compte beaucoup.","Familie & Freunde","",""
"34072","le parc pour bébé","Laufgitter","noun","m","Au quotidien, le parc pour bébé compte beaucoup.","Familie & Freunde","",""
"34073","le tapis d'éveil sensoriel","sensorische Krabbeldecke","noun","m","Au quotidien, le tapis d'éveil sensoriel compte beaucoup.","Familie & Freunde","",""
"34074","l'arche d'éveil","Spielbogen","noun","","Au quotidien, l'arche d'éveil compte beaucoup.","Familie & Freunde","",""
"34075","l'anneau de dentition réfrigérant","gekühlter Beißring","noun","","Au quotidien, l'anneau de dentition réfrigérant compte beaucoup.","Familie & Freunde","",""
"34076","le hochet en bois","Holzrassel","noun","m","Au quotidien, le hochet en bois compte beaucoup.","Familie & Freunde","",""
"34077","le cube sensoriel","Sinneswürfel","noun","m","Au quotidien, le cube sensoriel compte beaucoup.","Familie & Freunde","",""
"34078","le livre de bain","Badebuch","noun","m","Au quotidien, le livre de bain compte beaucoup.","Familie & Freunde","",""
"34079","le livre en tissu","Stoffbuch","noun","m","Au quotidien, le livre en tissu compte beaucoup.","Familie & Freunde","",""
"34080","la peluche sonore","klingendes Kuscheltier","noun","f","Au quotidien, la peluche sonore compte beaucoup.","Familie & Freunde","",""
"34081","la boîte à doudou","Schmusetierbox","noun","f","Au quotidien, la boîte à doudou compte beaucoup.","Familie & Freunde","",""
"34082","le coin doudou","Kuschelecke","noun","m","Au quotidien, le coin doudou compte beaucoup.","Familie & Freunde","",""
"34083","le langage du tout-petit","Sprache des Kleinkinds","noun","m","Au quotidien, le langage du tout-petit compte beaucoup.","Familie & Freunde","",""
"34084","le lexique du tout-petit","Kleinkindwortschatz","noun","m","Au quotidien, le lexique du tout-petit compte beaucoup.","Familie & Freunde","",""
"34086","le rituel du coucher","Einschlafritual","noun","m","Au quotidien, le rituel du coucher compte beaucoup.","Allgemein","",""
"34087","le rituel du matin","Morgenritual","noun","m","Au quotidien, le rituel du matin compte beaucoup.","Allgemein","",""
"34088","la histoire du soir","Gute-Nacht-Geschichte","noun","f","Au quotidien, la histoire du soir compte beaucoup.","Allgemein","",""
"34089","la chanson du coucher","Einschlaflied","noun","f","Au quotidien, la chanson du coucher compte beaucoup.","Allgemein","",""
"34090","la berceuse du soir","Abendlied zum Einschlafen","noun","f","Au quotidien, la berceuse du soir compte beaucoup.","Allgemein","",""
"34091","le temps calme","Ruhezeit","noun","m","Au quotidien, le temps calme compte beaucoup.","Allgemein","",""
"34092","le temps câlin","Kuschelzeit","noun","m","Au quotidien, le temps câlin compte beaucoup.","Allgemein","",""
"34093","le moment câlin","Kuschelmoment","noun","m","Au quotidien, le moment câlin compte beaucoup.","Allgemein","",""
"34094","le câlin de réconfort","Tröstekuscheln","noun","m","Au quotidien, le câlin de réconfort compte beaucoup.","Allgemein","",""
"34095","le gros chagrin","großer Kummer","noun","m","Au quotidien, le gros chagrin compte beaucoup.","Allgemein","",""
"34096","la petite frayeur","kleiner Schreck","noun","f","Au quotidien, la petite frayeur compte beaucoup.","Allgemein","",""
"34097","la peur du loup","Angst vor dem Wolf","noun","f","Au quotidien, la peur du loup compte beaucoup.","Allgemein","",""
"34098","la peur de la séparation","Trennungsangst","noun","f","Au quotidien, la peur de la séparation compte beaucoup.","Allgemein","",""
"34099","la crise du soir","Abendkrise","noun","f","Au quotidien, la crise du soir compte beaucoup.","Allgemein","",""
"34100","la crise de larmes","Tränenausbruch","noun","f","Au quotidien, la crise de larmes compte beaucoup.","Allgemein","",""
"34101","la larme de crocodile","Krokodilsträne","noun","f","Au quotidien, la larme de crocodile compte beaucoup.","Allgemein","",""
"34102","le bobo du genou","Aua am Knie","noun","m","Au quotidien, le bobo du genou compte beaucoup.","Allgemein","",""
"34103","le bobo de la main","Aua an der Hand","noun","m","Au quotidien, le bobo de la main compte beaucoup.","Allgemein","",""
"34104","la bosse sur le front","Beule an der Stirn","noun","f","Au quotidien, la bosse sur le front compte beaucoup.","Allgemein","",""
"34105","la poussée dentaire","Zahnungsphase","noun","f","Au quotidien, la poussée dentaire compte beaucoup.","Allgemein","",""
"34106","la dent de lait","Milchzahn","noun","f","Au quotidien, la dent de lait compte beaucoup.","Allgemein","",""
"34107","la première dent","erster Zahn","noun","f","Au quotidien, la première dent compte beaucoup.","Allgemein","",""
"34108","l'apprentissage de la propreté","Sauberwerden","noun","","Au quotidien, l'apprentissage de la propreté compte beaucoup.","Allgemein","",""
"34109","le passage au pot","Umstieg aufs Töpfchen","noun","m","Au quotidien, le passage au pot compte beaucoup.","Allgemein","",""
"34110","le réducteur de toilettes","Toilettenaufsatz","noun","m","Au quotidien, le réducteur de toilettes compte beaucoup.","Allgemein","",""
"34111","le marchepied de salle de bain","Badezimmerhocker","noun","m","Au quotidien, le marchepied de salle de bain compte beaucoup.","Allgemein","",""
"34112","la sieste du matin","Vormittagsschlaf","noun","f","Au quotidien, la sieste du matin compte beaucoup.","Allgemein","",""
"34113","la sieste de l'après-midi","Mittagsschlaf","noun","f","Au quotidien, la sieste de l'après-midi compte beaucoup.","Allgemein","",""
"34114","le dortoir de sieste","Schlafraum","noun","m","Au quotidien, le dortoir de sieste compte beaucoup.","Allgemein","",""
"34115","le réveil en douceur","sanftes Aufwachen","noun","m","Au quotidien, le réveil en douceur compte beaucoup.","Allgemein","",""
"34116","la comptine du rangement","Aufräumlied","noun","f","Au quotidien, la comptine du rangement compte beaucoup.","Allgemein","",""
"34117","la chanson du bonjour","Begrüßungslied","noun","f","Au quotidien, la chanson du bonjour compte beaucoup.","Allgemein","",""
"34118","la chanson d'au revoir","Abschiedslied","noun","f","Au quotidien, la chanson d'au revoir compte beaucoup.","Allgemein","",""
"34119","la routine du bain","Baderoutine","noun","f","Au quotidien, la routine du bain compte beaucoup.","Allgemein","",""
"34120","la routine du repas","Essensroutine","noun","f","Au quotidien, la routine du repas compte beaucoup.","Allgemein","",""
"34122","le petit déjeuner de crèche","Krippenfrühstück","noun","m","Au quotidien, le petit déjeuner de crèche compte beaucoup.","Allgemein","",""
"34123","le goûter du matin","Vormittagssnack","noun","m","Au quotidien, le goûter du matin compte beaucoup.","Allgemein","",""
"34124","le goûter d'anniversaire","Geburtstagsimbiss","noun","m","Au quotidien, le goûter d'anniversaire compte beaucoup.","Allgemein","",""
"34125","le repas mixé","pürierte Mahlzeit","noun","m","Au quotidien, le repas mixé compte beaucoup.","Allgemein","",""
"34126","la compote à boire","Quetschmus","noun","f","Au quotidien, la compote à boire compte beaucoup.","Allgemein","",""
"34127","la purée de légumes","Gemüsepüree","noun","f","Au quotidien, la purée de légumes compte beaucoup.","Allgemein","",""
"34128","le morceau fondant","weiches Stückchen","noun","m","Au quotidien, le morceau fondant compte beaucoup.","Allgemein","",""
"34129","le petit encas","kleiner Snack","noun","m","Au quotidien, le petit encas compte beaucoup.","Allgemein","",""
"34130","le doudou oublié","vergessenes Kuscheltier","noun","m","Au quotidien, le doudou oublié compte beaucoup.","Allgemein","",""
"34131","le chagrin de séparation","Trennungskummer","noun","m","Au quotidien, le chagrin de séparation compte beaucoup.","Allgemein","",""
"34132","la retrouvailles du soir","Wiedersehen am Abend","noun","f","Au quotidien, la retrouvailles du soir compte beaucoup.","Allgemein","",""
"34133","le départ du matin","Abschied am Morgen","noun","m","Au quotidien, le départ du matin compte beaucoup.","Allgemein","",""
"34134","l'arrivée à la crèche","Ankunft in der Krippe","noun","","Au quotidien, l'arrivée à la crèche compte beaucoup.","Allgemein","",""
"34135","la promenade en poussette","Kinderwagenfahrt","noun","f","Au quotidien, la promenade en poussette compte beaucoup.","Allgemein","",""
"34136","la sortie au parc","Ausflug in den Park","noun","f","Au quotidien, la sortie au parc compte beaucoup.","Allgemein","",""
"34137","la heure du bain","Badezeit","noun","f","Au quotidien, la heure du bain compte beaucoup.","Allgemein","",""
"34139","la heure du goûter","Snackzeit","noun","f","Au quotidien, la heure du goûter compte beaucoup.","Allgemein","",""
"34140","le temps de change","Wickelzeit","noun","m","Au quotidien, le temps de change compte beaucoup.","Allgemein","",""
"34141","le change complet","kompletter Windelwechsel","noun","m","Au quotidien, le change complet compte beaucoup.","Allgemein","",""
"34142","la couche propre","saubere Windel","noun","f","Au quotidien, la couche propre compte beaucoup.","Allgemein","",""
"34143","la couche sale","volle Windel","noun","f","Au quotidien, la couche sale compte beaucoup.","Allgemein","",""
"34144","le petit accident","kleines Malheur","noun","m","Au quotidien, le petit accident compte beaucoup.","Allgemein","",""
"34145","le temps du pot","Töpfchenzeit","noun","m","Au quotidien, le temps du pot compte beaucoup.","Allgemein","",""
"34146","le réveil de sieste","Aufwachen nach dem Schlaf","noun","m","Au quotidien, le réveil de sieste compte beaucoup.","Allgemein","",""
"34147","le temps de transition","Übergangszeit","noun","m","Au quotidien, le temps de transition compte beaucoup.","Allgemein","",""
"34148","la micro-crèche","Mikrokrippe","noun","f","Au quotidien, la micro-crèche compte beaucoup.","Allgemein","",""
"34149","la halte-garderie","Kurzzeitkrippe","noun","f","Au quotidien, la halte-garderie compte beaucoup.","Allgemein","",""
"34150","la section des petits","Gruppe der Kleinen","noun","f","Au quotidien, la section des petits compte beaucoup.","Allgemein","",""
"34151","la section des moyens","Gruppe der Mittleren","noun","f","Au quotidien, la section des moyens compte beaucoup.","Allgemein","",""
"34152","la section des grands","Gruppe der Großen","noun","f","Au quotidien, la section des grands compte beaucoup.","Allgemein","",""
"34153","la salle de motricité","Bewegungsraum","noun","f","Au quotidien, la salle de motricité compte beaucoup.","Allgemein","",""
"34154","le parcours de motricité","Bewegungsparcours","noun","m","Au quotidien, le parcours de motricité compte beaucoup.","Allgemein","",""
"34155","le coin dînette","Spielküchenecke","noun","m","Au quotidien, le coin dînette compte beaucoup.","Allgemein","",""
"34156","le coin poupées","Puppenecke","noun","m","Au quotidien, le coin poupées compte beaucoup.","Allgemein","",""
"34157","le coin garage","Autoecke","noun","m","Au quotidien, le coin garage compte beaucoup.","Allgemein","",""
"34158","le coin construction","Bauecke","noun","m","Au quotidien, le coin construction compte beaucoup.","Allgemein","",""
"34159","le coin cuisine","Küchenecke","noun","m","Au quotidien, le coin cuisine compte beaucoup.","Allgemein","",""
"34160","le coin musique","Musikecke","noun","m","Au quotidien, le coin musique compte beaucoup.","Allgemein","",""
"34161","le coin dessin","Malecke","noun","m","Au quotidien, le coin dessin compte beaucoup.","Allgemein","",""
"34162","le coin peinture","Farbecke","noun","m","Au quotidien, le coin peinture compte beaucoup.","Allgemein","",""
"34163","le coin repos","Ruheecke","noun","m","Au quotidien, le coin repos compte beaucoup.","Allgemein","",""
"34164","le coin calme","stille Ecke","noun","m","Au quotidien, le coin calme compte beaucoup.","Allgemein","",""
"34165","le coin cabane","Höhlenecke","noun","m","Au quotidien, le coin cabane compte beaucoup.","Allgemein","",""
"34166","le coin bébé","Babyecke","noun","m","Au quotidien, le coin bébé compte beaucoup.","Allgemein","",""
"34167","le tapis de regroupement","Gruppenteppich","noun","m","Au quotidien, le tapis de regroupement compte beaucoup.","Allgemein","",""
"34168","le temps de regroupement","Morgenkreiszeit","noun","m","Au quotidien, le temps de regroupement compte beaucoup.","Allgemein","",""
"34169","la ronde du matin","Morgenrunde","noun","f","Au quotidien, la ronde du matin compte beaucoup.","Allgemein","",""
"34170","le rituel de présence","Anwesenheitsritual","noun","m","Au quotidien, le rituel de présence compte beaucoup.","Allgemein","",""
"34171","le tableau des présences","Anwesenheitstafel","noun","m","Au quotidien, le tableau des présences compte beaucoup.","Allgemein","",""
"34172","l'étiquette-prénom","Namensschild","noun","","Au quotidien, l'étiquette-prénom compte beaucoup.","Allgemein","",""
"34173","le porte-manteau d'enfant","Kinderhaken","noun","m","Au quotidien, le porte-manteau d'enfant compte beaucoup.","Allgemein","",""
"34174","le casier d'enfant","Kinderfach","noun","m","Au quotidien, le casier d'enfant compte beaucoup.","Allgemein","",""
"34175","le vestiaire de crèche","Krippengarderobe","noun","m","Au quotidien, le vestiaire de crèche compte beaucoup.","Allgemein","",""
"34176","le sac de change","Wechselsachenbeutel","noun","m","Au quotidien, le sac de change compte beaucoup.","Allgemein","",""
"34177","le cahier de liaison","Mitteilungsheft","noun","m","Au quotidien, le cahier de liaison compte beaucoup.","Allgemein","",""
"34178","le calendrier illustré","Bildkalender","noun","m","Au quotidien, le calendrier illustré compte beaucoup.","Allgemein","",""
"34179","la roue des émotions","Emotionsrad","noun","f","Au quotidien, la roue des émotions compte beaucoup.","Allgemein","",""
"34180","le tableau des responsabilités","Verantwortungstafel","noun","m","Au quotidien, le tableau des responsabilités compte beaucoup.","Allgemein","",""
"34181","le responsable du jour","Kind des Tages","noun","m","Au quotidien, le responsable du jour compte beaucoup.","Allgemein","",""
"34182","le service de table","Tischdienst","noun","m","Au quotidien, le service de table compte beaucoup.","Allgemein","",""
"34183","la serviette de cantine","Kantinenserviette","noun","f","Au quotidien, la serviette de cantine compte beaucoup.","Allgemein","",""
"34184","le verre incassable","bruchsicheres Glas","noun","m","Au quotidien, le verre incassable compte beaucoup.","Allgemein","",""
"34185","la petite chaise","kleiner Stuhl","noun","f","Au quotidien, la petite chaise compte beaucoup.","Allgemein","",""
"34186","la petite table","kleiner Tisch","noun","f","Au quotidien, la petite table compte beaucoup.","Allgemein","",""
"34187","le banc de regroupement","Sitzbank für die Gruppe","noun","m","Au quotidien, le banc de regroupement compte beaucoup.","Allgemein","",""
"34188","le tapis de lecture","Leseteppich","noun","m","Au quotidien, le tapis de lecture compte beaucoup.","Allgemein","",""
"34189","le bac sensoriel","Sinneswanne","noun","m","Au quotidien, le bac sensoriel compte beaucoup.","Allgemein","",""
"34190","la table lumineuse","Leuchttisch","noun","f","Au quotidien, la table lumineuse compte beaucoup.","Allgemein","",""
"34191","la bouteille sensorielle","Sinnesflasche","noun","f","Au quotidien, la bouteille sensorielle compte beaucoup.","Allgemein","",""
"34192","le jeu d'encastrement","Steckspiel","noun","m","Au quotidien, le jeu d'encastrement compte beaucoup.","Allgemein","",""
"34193","le jeu d'empilement","Stapelspiel","noun","m","Au quotidien, le jeu d'empilement compte beaucoup.","Allgemein","",""
"34194","le jeu de transvasement","Umfüllspiel","noun","m","Au quotidien, le jeu de transvasement compte beaucoup.","Allgemein","",""
"34195","le bac à semoule","Grießwanne","noun","m","Au quotidien, le bac à semoule compte beaucoup.","Allgemein","",""
"34196","la pâte à modeler","Knetmasse","noun","f","Au quotidien, la pâte à modeler compte beaucoup.","Allgemein","",""
"34197","la pâte à sel","Salzteig","noun","f","Au quotidien, la pâte à sel compte beaucoup.","Allgemein","",""
"34198","la peinture aux doigts","Fingerfarbe","noun","f","Au quotidien, la peinture aux doigts compte beaucoup.","Allgemein","",""
"34199","la gommette ronde","runder Aufkleberpunkt","noun","f","Au quotidien, la gommette ronde compte beaucoup.","Allgemein","",""
"34200","la gommette étoile","Stern-Aufkleber","noun","f","Au quotidien, la gommette étoile compte beaucoup.","Allgemein","",""
"34201","le feutre lavable","auswaschbarer Filzstift","noun","m","Au quotidien, le feutre lavable compte beaucoup.","Allgemein","",""
"34202","le tablier de peinture","Malkittel","noun","m","Au quotidien, le tablier de peinture compte beaucoup.","Allgemein","",""
"34203","le chevalet d'enfant","Kinderstaffelei","noun","m","Au quotidien, le chevalet d'enfant compte beaucoup.","Allgemein","",""
"34204","l'ardoise magique","Zaubertafel","noun","","Au quotidien, l'ardoise magique compte beaucoup.","Allgemein","",""
"34205","le puzzle en bois","Holzpuzzle","noun","m","Au quotidien, le puzzle en bois compte beaucoup.","Allgemein","",""
"34206","la marionnette à doigt","Fingerpuppe","noun","f","Au quotidien, la marionnette à doigt compte beaucoup.","Allgemein","",""
"34207","la marionnette à main","Handpuppe","noun","f","Au quotidien, la marionnette à main compte beaucoup.","Allgemein","",""
"34208","l'imagier sonore","Geräuschbildwörterbuch","noun","","Au quotidien, l'imagier sonore compte beaucoup.","Allgemein","",""
"34209","l'album cartonné","Pappbilderbuch","noun","","Au quotidien, l'album cartonné compte beaucoup.","Allgemein","",""
"34210","le livre à toucher","Fühlbuch","noun","m","Au quotidien, le livre à toucher compte beaucoup.","Allgemein","",""
"34211","le livre à rabats","Klappenbuch","noun","m","Au quotidien, le livre à rabats compte beaucoup.","Allgemein","",""
"34212","la boîte à histoires","Geschichtenbox","noun","f","Au quotidien, la boîte à histoires compte beaucoup.","Allgemein","",""
"34213","le toboggan de crèche","Krippenrutsche","noun","m","Au quotidien, le toboggan de crèche compte beaucoup.","Allgemein","",""
"34214","le tunnel de motricité","Bewegungstunnel","noun","m","Au quotidien, le tunnel de motricité compte beaucoup.","Allgemein","",""
"34215","la piscine à balles","Bällebad","noun","f","Au quotidien, la piscine à balles compte beaucoup.","Allgemein","",""
"34216","la draisienne de cour","Laufrad für den Hof","noun","f","Au quotidien, la draisienne de cour compte beaucoup.","Allgemein","",""
"34217","le porteur enfant","Rutschfahrzeug","noun","m","Au quotidien, le porteur enfant compte beaucoup.","Allgemein","",""
"34218","le vélo sans pédales","Laufrad","noun","m","Au quotidien, le vélo sans pédales compte beaucoup.","Allgemein","",""
"34219","l'éveil au langage","Sprachförderung im frühen Alter","noun","","Au quotidien, l'éveil au langage compte beaucoup.","Allgemein","",""
"34220","l'atelier langage","Sprachatelier","noun","","Au quotidien, l'atelier langage compte beaucoup.","Allgemein","",""
"34221","le coin langage","Sprachecke","noun","m","Au quotidien, le coin langage compte beaucoup.","Allgemein","",""
"34222","le bain de langage","Sprachbad","noun","m","Au quotidien, le bain de langage compte beaucoup.","Allgemein","",""
"34223","le jeu de doigts","Fingerspiel","noun","m","Au quotidien, le jeu de doigts compte beaucoup.","Allgemein","",""
"34224","la comptine à gestes","Bewegungslied","noun","f","Au quotidien, la comptine à gestes compte beaucoup.","Allgemein","",""
"34225","la comptine de doigts","Fingerreim","noun","f","Au quotidien, la comptine de doigts compte beaucoup.","Allgemein","",""
"34226","la comptine pour s'endormir","Einschlafreim","noun","f","Au quotidien, la comptine pour s'endormir compte beaucoup.","Allgemein","",""
"34227","la chanson à gestes","Lied mit Bewegungen","noun","f","Au quotidien, la chanson à gestes compte beaucoup.","Allgemein","",""
"34228","la histoire mimée","nachgespielte Geschichte","noun","f","Au quotidien, la histoire mimée compte beaucoup.","Allgemein","",""
"34229","la histoire racontée","erzählte Geschichte","noun","f","Au quotidien, la histoire racontée compte beaucoup.","Allgemein","",""
"34230","la phrase de consolation","Trostsatz","noun","f","Au quotidien, la phrase de consolation compte beaucoup.","Allgemein","",""
"34231","la phrase de félicitation","Lobesatz","noun","f","Au quotidien, la phrase de félicitation compte beaucoup.","Allgemein","",""
"34232","le mot d'encouragement","Ermutigungswort","noun","m","Au quotidien, le mot d'encouragement compte beaucoup.","Allgemein","",""
"34233","la voix rassurante","beruhigende Stimme","noun","f","Au quotidien, la voix rassurante compte beaucoup.","Allgemein","",""
"34234","le ton rassurant","beruhigender Ton","noun","m","Au quotidien, le ton rassurant compte beaucoup.","Allgemein","",""
"34235","la consigne illustrée","bebilderte Anweisung","noun","f","Au quotidien, la consigne illustrée compte beaucoup.","Allgemein","",""
"34236","le pictogramme de consigne","Anweisungspiktogramm","noun","m","Au quotidien, le pictogramme de consigne compte beaucoup.","Allgemein","",""
"34237","le repère visuel","visuelle Orientierungshilfe","noun","m","Au quotidien, le repère visuel compte beaucoup.","Allgemein","",""
"34238","la suite d'images","Bildfolge","noun","f","Au quotidien, la suite d'images compte beaucoup.","Allgemein","",""
"34239","la carte des émotions","Emotionskarte","noun","f","Au quotidien, la carte des émotions compte beaucoup.","Allgemein","",""
"34240","la boîte à émotions","Emotionsbox","noun","f","Au quotidien, la boîte à émotions compte beaucoup.","Allgemein","",""
"34241","le tableau du jour","Tagesübersicht","noun","m","Au quotidien, le tableau du jour compte beaucoup.","Allgemein","",""
"34242","la phrase du jour","Satz des Tages","noun","f","Au quotidien, la phrase du jour compte beaucoup.","Allgemein","",""
"34243","le mot du jour","Wort des Tages","noun","m","Au quotidien, le mot du jour compte beaucoup.","Allgemein","",""
"34244","l'image séquentielle","Bildabfolge","noun","","Au quotidien, l'image séquentielle compte beaucoup.","Allgemein","",""
"34245","la routine visuelle","visuelle Routine","noun","f","Au quotidien, la routine visuelle compte beaucoup.","Allgemein","",""
"34246","le langage des émotions","Gefühlssprache","noun","m","Au quotidien, le langage des émotions compte beaucoup.","Allgemein","",""
"34247","le vocabulaire du corps","Körperwortschatz","noun","m","Au quotidien, le vocabulaire du corps compte beaucoup.","Allgemein","",""
"34248","le vocabulaire de la maison","Wortschatz Haus","noun","m","Au quotidien, le vocabulaire de la maison compte beaucoup.","Allgemein","",""
"34249","le vocabulaire des animaux","Tierwortschatz","noun","m","Au quotidien, le vocabulaire des animaux compte beaucoup.","Allgemein","",""
